Week,ethereum: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2021-10-03,31,2021-10-03,3390.767578,3484.605713,3348.120117,3418.358643,3418.358643,15516566862
2021-10-10,33,2021-10-10,3575.020508,3603.244873,3414.970947,3425.852783,3425.852783,16171746693
2021-10-17,41,2021-10-17,3829.858887,3914.897949,3660.723389,3847.104492,3847.104492,15908090346
2021-10-24,38,2021-10-24,4171.855957,4185.729492,3967.120361,4087.903076,4087.903076,14978083638
2021-10-31,42,2021-10-31,4322.744141,4394.449707,4179.016113,4288.074219,4288.074219,17498160238
2021-11-07,46,2021-11-07,4523.981934,4640.921875,4510.984375,4620.554688,4620.554688,13541376033
2021-11-14,41,2021-11-14,4648.632813,4689.842773,4516.935547,4626.358887,4626.358887,12172962219
2021-11-21,37,2021-11-21,4412.195313,4422.491699,4255.455078,4269.73291,4269.73291,14094831413
2021-11-28,42,2021-11-28,4101.648926,4297.916504,3989.969971,4294.453613,4294.453613,15953126340
2021-12-05,37,2021-12-05,4119.628906,4246.92334,4040.217529,4198.322754,4198.322754,25533062707
2021-12-12,34,2021-12-12,4084.811279,4173.608887,3993.055908,4134.453125,4134.453125,14057603914
2021-12-19,31,2021-12-19,3960.872314,4018.658447,3894.398682,3922.592529,3922.592529,16167785597
2021-12-26,31,2021-12-26,4094.151611,4105.023926,4013.026367,4067.328125,4067.328125,11197244172
2022-01-02,39,2022-01-02,3769.29834,3836.161865,3727.357422,3829.564941,3829.564941,9881471548
2022-01-09,37,2022-01-09,3091.696289,3206.790771,3075.911377,3157.751465,3157.751465,12334683863
2022-01-16,35,2022-01-16,3330.387207,3376.401123,3291.563721,3350.921875,3350.921875,9505934874
2022-01-23,46,2022-01-23,2406.924316,2542.144775,2381.515137,2535.039063,2535.039063,16481489511
2022-01-30,38,2022-01-30,2598.564941,2631.408447,2550.460938,2603.466553,2603.466553,9501221177
2022-02-06,34,2022-02-06,3014.959717,3061.26123,2965.429932,3057.476074,3057.476074,9466018022
2022-02-13,30,2022-02-13,2916.789551,2947.776611,2845.397705,2883.463379,2883.463379,9054963563
2022-02-20,32,2022-02-20,2763.756592,2763.756592,2585.946289,2628.648438,2628.648438,11641437834
2022-02-27,28,2022-02-27,2780.504395,2831.125488,2581.615723,2621.801758,2621.801758,16150857254
2022-03-06,25,2022-03-06,2664.943604,2673.637207,2555.037354,2555.037354,2555.037354,8872976607
2022-03-13,22,2022-03-13,2573.488037,2594.549805,2503.885254,2518.94458,2518.94458,8632000379
2022-03-20,26,2022-03-20,2946.547607,2956.965576,2826.107422,2860.459229,2860.459229,12684727326
2022-03-27,29,2022-03-27,3143.795654,3291.577637,3129.997803,3291.577637,3291.577637,13431866834
2022-04-03,23,2022-04-03,3444.810547,3573.960205,3421.259766,3522.833496,3522.833496,15333808649
2022-04-10,23,2022-04-10,3261.291504,3303.003174,3211.866943,3211.866943,3211.866943,10427054790
2022-04-17,19,2022-04-17,3061.881836,3075.775879,2989.043945,2993.40332,2993.40332,10463091281
2022-04-24,18,2022-04-24,2937.347168,2961.88208,2922.128662,2922.732666,2922.732666,9696829579
2022-05-01,20,2022-05-01,2729.994141,2838.704346,2728.078857,2827.756104,2827.756104,15332730152
2022-05-08,35,2022-05-08,2636.121826,2638.830566,2498.430176,2517.459961,2517.459961,20802269935
2022-05-15,24,2022-05-15,2056.183105,2147.194336,2008.16272,2145.706787,2145.706787,14846088335
2022-05-22,22,2022-05-22,1974.670654,2047.191406,1966.038818,2043.170166,2043.170166,10941123403
2022-05-29,20,2022-05-29,1792.184448,1818.776611,1765.937378,1812.031006,1812.031006,10642556101
2022-06-05,20,2022-06-05,1801.81897,1825.859619,1777.133301,1805.204956,1805.204956,8850385937
2022-06-12,45,2022-06-12,1530.189697,1539.705078,1436.18396,1445.216553,1445.216553,23465074882
2022-06-19,30,2022-06-19,993.400635,1142.34082,943.116333,1127.656494,1127.656494,21795481981
2022-06-26,24,2022-06-26,1242.987549,1272.131226,1199.406372,1199.831665,1199.831665,12096607824
2022-07-03,21,2022-07-03,1066.467407,1083.418945,1044.005615,1073.766968,1073.766968,8557248150
2022-07-10,20,2022-07-10,1216.904419,1216.904419,1157.175537,1168.401611,1168.401611,10984558039
2022-07-17,28,2022-07-17,1353.205078,1378.41748,1329.763306,1338.635742,1338.635742,16079711737
2022-07-24,23,2022-07-24,1549.222534,1654.428711,1548.671143,1599.476685,1599.476685,17217849557
2022-07-31,22,2022-07-31,1695.884766,1745.883179,1672.612793,1681.517334,1681.517334,14200735370
2022-08-07,25,2022-08-07,1691.777954,1724.789185,1672.908447,1699.35083,1699.35083,10252090340
2022-08-14,24,2022-08-14,1981.782471,2022.791504,1919.010132,1936.802002,1936.802002,14062754456
2022-08-21,21,2022-08-21,1576.543579,1640.936523,1569.046509,1619.31897,1619.31897,15849221752
2022-08-28,20,2022-08-28,1491.206787,1505.791992,1430.547363,1430.547363,1430.547363,12823572918
2022-09-04,22,2022-09-04,1556.895874,1578.009277,1543.698853,1577.641602,1577.641602,8884144998
2022-09-11,43,2022-09-11,1775.976074,1782.729858,1730.164795,1761.800049,1761.800049,12464301922
2022-09-18,24,2022-09-18,1469.705444,1469.705444,1331.494751,1335.329102,1335.329102,15762284723
2022-09-25,17,2022-09-25,1317.938477,1333.371338,1275.627686,1294.216797,1294.216797,11802651633
2022-10-02,14,2022-10-02,1311.753418,1316.330078,1275.33606,1276.093506,1276.093506,7578351650
2022-10-09,13,2022-10-09,1315.460205,1327.668823,1309.344604,1322.604248,1322.604248,5486230123
2022-10-16,12,2022-10-16,1275.005493,1312.634521,1275.005493,1306.296631,1306.296631,7491625206
2022-10-23,16,2022-10-23,1314.249512,1367.760742,1302.908813,1363.447021,1363.447021,9909510925
2022-10-30,16,2022-10-30,1619.697876,1637.037842,1579.485229,1590.783325,1590.783325,13930073427
2022-11-06,22,2022-11-06,1627.901123,1634.132446,1572.234741,1572.234741,1572.234741,11632744705
2022-11-13,18,2022-11-13,1255.441284,1271.712524,1208.520996,1221.819214,1221.819214,10717455214
2022-11-20,15,2022-11-20,1218.436279,1224.077759,1137.933228,1142.466675,1142.466675,9651002684
2022-11-27,13,2022-11-27,1205.905273,1220.349487,1195.039063,1195.126953,1195.126953,4486976868
2022-12-04,11,2022-12-04,1243.219238,1281.49231,1242.911743,1280.256592,1280.256592,5174128454
2022-12-11,12,2022-12-11,1266.417847,1281.783203,1260.663696,1263.86853,1263.86853,3362005848
2022-12-18,12,2022-12-18,1188.12854,1194.214478,1176.185791,1184.71521,1184.71521,3350092519
2022-12-25,11,2022-12-25,1221.171509,1223.517822,1203.719604,1218.962036,1218.962036,3942720070
2023-01-01,12,2023-01-01,1196.713623,1203.475342,1192.885376,1200.964844,1200.964844,2399674550
2023-01-08,14,2023-01-08,1264.181885,1287.359497,1260.226807,1287.359497,1287.359497,3495088905
2023-01-15,16,2023-01-15,1550.731567,1556.950806,1520.893799,1552.479492,1552.479492,6774614499
2023-01-22,14,2023-01-22,1627.365967,1658.023438,1612.085693,1628.38208,1628.38208,7517988734
2023-01-29,14,2023-01-29,1572.629517,1653.724976,1568.984863,1646.15564,1646.15564,8801292300
2023-02-05,12,2023-02-05,1667.166504,1671.770264,1616.391846,1631.645874,1631.645874,6926696531
2023-02-12,13,2023-02-12,1539.776001,1545.554199,1501.462036,1515.033691,1515.033691,5319698775
2023-02-19,12,2023-02-19,1691.680176,1718.947632,1673.906616,1681.436157,1681.436157,6959144003
2023-02-26,11,2023-02-26,1594.761108,1645.273438,1590.393066,1640.817139,1640.817139,5727967432
2023-03-05,11,2023-03-05,1567.179321,1584.208862,1559.954102,1564.46875,1564.46875,5020886238
2023-03-12,15,2023-03-12,1482.431885,1607.152588,1461.610962,1590.292969,1590.292969,11480965122
2023-03-19,15,2023-03-19,1762.963257,1843.844116,1762.963257,1785.576538,1785.576538,9170565472
2023-03-26,12,2023-03-26,1743.842163,1797.880249,1741.182861,1775.676758,1775.676758,6990313307
2023-04-02,13,2023-04-02,1821.192139,1824.328857,1774.872437,1795.70813,1795.70813,6199721188
2023-04-09,18,2023-04-09,1849.672241,1873.057373,1828.700073,1859.387817,1859.387817,6361497715
2023-04-16,15,2023-04-16,2092.281006,2137.445068,2076.832031,2120.005859,2120.005859,7898126856
2023-04-23,12,2023-04-23,1874.171509,1882.229736,1838.992432,1862.062012,1862.062012,6607451862
2023-04-30,11,2023-04-30,1908.741333,1938.417969,1876.924316,1876.924316,1876.924316,6539641957
2023-05-07,11,2023-05-07,1899.917603,1933.998413,1873.076416,1873.076416,1873.076416,6883942236
2023-05-14,9,2023-05-14,1796.10791,1823.490723,1793.22876,1800.500977,1800.500977,4711210241
2023-05-21,9,2023-05-21,1820.138062,1827.921997,1799.946899,1804.531372,1804.531372,3386768865
2023-05-28,10,2023-05-28,1831.098633,1915.723267,1825.467285,1910.914185,1910.914185,6359610561
2023-06-04,10,2023-06-04,1892.398193,1912.205688,1885.651855,1890.51355,1890.51355,3747042696
2023-06-11,10,2023-06-11,1752.527588,1776.847168,1741.110474,1753.415283,1753.415283,4559112981
2023-06-18,11,2023-06-18,1727.193726,1746.509155,1718.11145,1720.577515,1720.577515,3820038842
2023-06-25,10,2023-06-25,1875.849121,1929.079102,1870.850098,1900.506104,1900.506104,6937581709
2023-07-02,10,2023-07-02,1924.44812,1958.160767,1895.906982,1937.438354,1937.438354,6343966490
2023-07-09,10,2023-07-09,1865.594971,1878.668945,1857.748291,1863.009766,1863.009766,4392863807
2023-07-16,10,2023-07-16,1931.64502,1942.030884,1917.294067,1923.681885,1923.681885,4329306566
2023-07-23,9,2023-07-23,1866.094238,1904.483276,1859.568848,1889.19165,1889.19165,4480604100
2023-07-30,8,2023-07-30,1880.871582,1884.144165,1851.728027,1861.643799,1861.643799,4003005547
2023-08-06,8,2023-08-06,1834.845215,1836.248901,1824.986694,1827.462036,1827.462036,2963395076
2023-08-13,9,2023-08-13,1849.053833,1859.916382,1834.804321,1839.280151,1839.280151,3054625661
2023-08-20,8,2023-08-20,1669.587769,1692.328735,1662.901489,1684.852051,1684.852051,4105056995
2023-08-27,8,2023-08-27,1646.271973,1659.26709,1645.902832,1657.513062,1657.513062,2624065031
2023-09-03,8,2023-09-03,1637.043579,1645.645142,1626.089233,1636.117676,1636.117676,3151878318
2023-09-10,7,2023-09-10,1635.21167,1635.433105,1604.040527,1616.828857,1616.828857,4339499949
2023-09-17,7,2023-09-17,1635.20105,1635.512939,1616.779297,1622.896729,1622.896729,3032716258
2023-09-24,7,2023-09-24,1593.825684,1600.207275,1576.783325,1580.853394,1580.853394,3086456944
2023-10-01,7,2023-10-01,1671.161499,1750.595703,1670.082153,1733.810425,1733.810425,5054880180
2023-10-08,7,2023-10-08,1634.657349,1641.182373,1618.189209,1633.548584,1633.548584,3315554175
2023-10-15,8,2023-10-15,1555.07605,1565.760864,1550.554565,1558.069824,1558.069824,2923337883
2023-10-22,11,2023-10-22,1629.297729,1667.666626,1623.984741,1663.429932,1663.429932,5248406817
2023-10-29,10,2023-10-29,1776.563965,1810.488647,1766.052979,1795.546021,1795.546021,4358528382
2023-11-05,13,2023-11-05,1857.39563,1911.608643,1848.620117,1894.157715,1894.157715,8867152645
2023-11-12,12,2023-11-12,2053.118652,2066.003418,2019.028076,2045.187012,2045.187012,7951011698
2023-11-19,11,2023-11-19,1963.180054,2015.633911,1944.900879,2013.204468,2013.204468,7716048818
2023-11-26,11,2023-11-26,2084.17749,2094.095947,2038.600464,2063.286133,2063.286133,8054814154
2023-12-03,17,2023-12-03,2165.895752,2213.175781,2151.720947,2193.69165,2193.69165,8278465782
2023-12-10,13,2023-12-10,2341.440186,2376.749756,2323.405762,2352.462646,2352.462646,7369608905
2023-12-17,12,2023-12-17,2226.892578,2244.366455,2195.761719,2196.481201,2196.481201,7410453853
2023-12-24,13,2023-12-24,2309.626709,2325.705078,2249.984375,2265.692139,2265.692139,9450799236
2023-12-31,13,2023-12-31,2291.945313,2318.512939,2261.394287,2281.471191,2281.471191,6871481744
2024-01-07,20,2024-01-07,2242.012695,2257.12793,2211.5625,2222.865967,2222.865967,6490053615
2024-01-14,14,2024-01-14,2578.003662,2578.332275,2470.424316,2472.241211,2472.241211,9405587417
2024-01-21,11,2024-01-21,2469.798584,2479.760498,2452.377686,2453.913086,2453.913086,4578471955
2024-01-28,10,2024-01-28,2268.192871,2306.898682,2242.683838,2257.20874,2257.20874,7296214994
2024-02-04,11,2024-02-04,2296.116943,2309.01123,2272.304932,2289.546143,2289.546143,5438100035
2024-02-11,15,2024-02-11,2501.129883,2537.679199,2495.214355,2507.570557,2507.570557,7347245813
2024-02-18,16,2024-02-18,2786.709717,2892.843506,2767.913086,2878.998047,2878.998047,23355830478
2024-02-25,26,2024-02-25,2992.366699,3117.428955,2984.393066,3112.697266,3112.697266,14620450464
2024-03-03,30,2024-03-03,3422.875244,3491.168457,3372.214111,3490.993652,3490.993652,13643324467
2024-03-10,29,2024-03-10,3915.590576,3968.723633,3800.564453,3881.193115,3881.193115,15783924355
2024-03-17,22,2024-03-17,3523.029785,3676.263428,3414.172363,3642.413086,3642.413086,19938757095
2024-03-24,17,2024-03-24,3336.666016,3470.344482,3301.277344,3454.636475,3454.636475,12156660941
2024-03-31,14,2024-03-31,3507.95166,3655.218994,3507.242676,3647.856445,3647.856445,10499881424
2024-04-07,15,2024-04-07,3354.213867,3458.508301,3346.114746,3453.494629,3453.494629,9931108526
