Week,bitcoin: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2021-07-18,33,2021-07-18,31533.884766,32398.996094,31215.492188,31796.810547,31796.810547,18787986667
2021-07-25,38,2021-07-25,34290.292969,35364.925781,33881.835938,35350.1875,35350.1875,20856685287
2021-08-01,33,2021-08-01,41460.84375,42541.679688,39540.941406,39974.894531,39974.894531,26688438115
2021-08-08,35,2021-08-08,44574.4375,45282.351563,43331.910156,43798.117188,43798.117188,36302664750
2021-08-15,32,2021-08-15,47096.667969,47357.105469,45579.589844,47047.003906,47047.003906,30988958446
2021-08-22,32,2021-08-22,48869.105469,49471.609375,48199.941406,49321.652344,49321.652344,25370975378
2021-08-29,27,2021-08-29,48911.25,49644.113281,47925.855469,48829.832031,48829.832031,25889650240
2021-09-05,38,2021-09-05,49937.859375,51868.679688,49538.597656,51753.410156,51753.410156,30322676319
2021-09-12,27,2021-09-12,45206.628906,46364.878906,44790.460938,46063.269531,46063.269531,27881980161
2021-09-19,32,2021-09-19,48268.855469,48328.367188,46919.804688,47260.21875,47260.21875,26967722648
2021-09-26,28,2021-09-26,42721.628906,43919.300781,40848.460938,43208.539063,43208.539063,30661222077
2021-10-03,32,2021-10-03,47680.027344,49130.691406,47157.289063,48199.953125,48199.953125,26638115879
2021-10-10,36,2021-10-10,54952.820313,56401.304688,54264.257813,54771.578125,54771.578125,39527792364
2021-10-17,45,2021-10-17,60887.652344,61645.523438,59164.46875,61553.617188,61553.617188,29032367511
2021-10-24,37,2021-10-24,61368.34375,61505.804688,59643.34375,60930.835938,60930.835938,27316183882
2021-10-31,32,2021-10-31,61850.488281,62406.171875,60074.328125,61318.957031,61318.957031,32241199927
2021-11-07,37,2021-11-07,61554.921875,63326.988281,61432.488281,63326.988281,63326.988281,24726754302
2021-11-14,36,2021-11-14,64455.371094,65495.179688,63647.808594,65466.839844,65466.839844,25122092191
2021-11-21,35,2021-11-21,59730.507813,60004.425781,58618.929688,58730.476563,58730.476563,26123447605
2021-11-28,35,2021-11-28,54813.023438,57393.84375,53576.734375,57248.457031,57248.457031,28116886357
2021-12-05,39,2021-12-05,49201.519531,49768.148438,47857.496094,49368.847656,49368.847656,37198201161
2021-12-12,34,2021-12-12,49354.855469,50724.867188,48725.851563,50098.335938,50098.335938,21939223599
2021-12-19,32,2021-12-19,46853.867188,48089.664063,46502.953125,46707.015625,46707.015625,25154053861
2021-12-26,29,2021-12-26,50428.691406,51196.378906,49623.105469,50809.515625,50809.515625,20964372926
2022-01-02,41,2022-01-02,47680.925781,47881.40625,46856.9375,47345.21875,47345.21875,27951569547
2022-01-09,37,2022-01-09,41734.726563,42663.949219,41338.160156,41911.601563,41911.601563,21294384372
2022-01-16,40,2022-01-16,43172.039063,43436.808594,42691.023438,43113.878906,43113.878906,17902097845
2022-01-23,53,2022-01-23,35047.359375,36433.3125,34784.96875,36276.804688,36276.804688,26017975951
2022-01-30,38,2022-01-30,38151.917969,38266.339844,37437.710938,37917.601563,37917.601563,14643548444
2022-02-06,38,2022-02-06,41441.121094,42500.785156,41244.90625,42412.433594,42412.433594,16142097334
2022-02-13,31,2022-02-13,42236.566406,42693.054688,41950.941406,42197.515625,42197.515625,14741589015
2022-02-20,41,2022-02-20,40118.101563,40119.890625,38112.8125,38431.378906,38431.378906,18340576452
